step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
312,96.8765,0.0539,-0.0341549,9.2796,0.1
313,96.882,0.0743,-0.036152,9.2951,0.1
314,96.891,0.0945,-0.0381393,9.3105,0.1
315,96.9041,0.1145,-0.0401165,9.3258,0.1
316,96.9188,0.1211,-0.0354771,9.3309,0.1
317,96.9404,0.1472,-0.0459607,9.3512,0.1
318,96.964,0.1536,-0.0387975,9.3562,0.1
319,96.9938,0.1727,-0.0458738,9.3712,0.1
320,97.0259,0.179,-0.0414733,9.3762,0.1
321,97.0626,0.1915,-0.0452991,9.3862,0.1
322,97.1016,0.1977,-0.0434979,9.3912,0.1
323,97.1432,0.2039,-0.0442199,9.3961,0.1
324,97.1874,0.2101,-0.0449449,9.4011,0.1
325,97.2395,0.2284,-0.0517291,9.4159,0.1
326,97.2973,0.2404,-0.0505293,9.4257,0.1
327,97.358,0.2464,-0.0488525,9.4305,0.1
328,97.4277,0.2639,-0.0553345,9.4451,0.1
329,97.5004,0.2697,-0.0513693,9.4499,0.1
330,97.5763,0.2754,-0.052037,9.4547,0.1
331,97.6617,0.2924,-0.0584032,9.4692,0.1
332,97.7572,0.3089,-0.0600077,9.4835,0.1
333,97.856,0.3144,-0.0563149,9.4883,0.1
334,97.9582,0.3197,-0.0569247,9.493,0.1
335,98.0638,0.325,-0.0576172,9.4977,0.1
336,98.1764,0.3355,-0.060915,9.5072,0.1
337,98.2995,0.3509,-0.0645904,9.5213,0.1
338,98.4262,0.3559,-0.0611084,9.5259,0.1
339,98.5635,0.3706,-0.0666437,9.5399,0.1
340,98.7116,0.3848,-0.0680561,9.5538,0.1
341,98.8703,0.3984,-0.0693753,9.5676,0.1
342,99.0396,0.4114,-0.070641,9.5812,0.1
343,99.2123,0.4156,-0.0677488,9.5858,0.1
344,99.3954,0.4279,-0.0724327,9.5994,0.1
345,99.5887,0.4396,-0.0735825,9.6129,0.1
346,99.7919,0.4508,-0.0747279,9.6264,0.1
347,100.005,0.4613,-0.0757286,9.6397,0.1
348,100.224,0.468,-0.0751126,9.6485,0.1
349,100.452,0.4774,-0.0773713,9.6617,0.1
350,100.682,0.4804,-0.0753515,9.6661,0.1
351,100.916,0.4834,-0.0758932,9.6705,0.1
352,101.155,0.4891,-0.0777877,9.6793,0.1
353,101.402,0.4971,-0.0797563,9.6923,0.1
354,101.652,0.4996,-0.0780561,9.6966,0.1
355,101.904,0.5021,-0.0785571,9.7009,0.1
356,102.163,0.509,-0.0812616,9.7138,0.1
357,102.429,0.5153,-0.0819093,9.7266,0.1
358,102.702,0.5225,-0.0832505,9.7436,0.1
359,102.981,0.528,-0.0833845,9.7562,0.1
360,103.268,0.5362,-0.0855526,9.7729,0.1
361,103.563,0.5433,-0.0860943,9.7854,0.1
362,103.868,0.5525,-0.0881305,9.7977,0.1
363,104.182,0.5602,-0.0885806,9.81,0.1
364,104.503,0.566,-0.0886836,9.8181,0.1
365,104.834,0.5759,-0.0916016,9.8303,0.1
366,105.179,0.5869,-0.093435,9.8424,0.1
367,105.536,0.5981,-0.0949341,9.8543,0.1
368,105.898,0.6016,-0.0925049,9.8583,0.1
369,106.272,0.6116,-0.0964107,9.8702,0.1
370,106.658,0.6208,-0.0973211,9.882,0.1
371,107.047,0.6237,-0.0954029,9.8859,0.1
372,107.443,0.6291,-0.0972575,9.8937,0.1
373,107.848,0.6365,-0.0991157,9.9054,0.1
374,108.261,0.6431,-0.0997773,9.917,0.1
375,108.677,0.645,-0.0984098,9.9209,0.1
